time,open,high,low,close
1702119420000,43851.96,43871,43850.62,43860.92
1702119480000,43860.93,43871,43846.87,43847.63
1702119540000,43849.92,43868.2,43832.5,43849.75
1702119600000,43849.74,43883,43839.25,43854.15
1702119660000,43853.58,43876.15,43853.58,43873.72
1702119720000,43876.14,43883,43850.7,43870
1702119780000,43869.46,43884,43850.25,43857.8
1702119840000,43870,43874,43846.9,43863.68
1702119900000,43864.25,43875,43835.6,43849.23
1702119960000,43849.23,43874,43849.23,43862.04
1702120020000,43862.04,43895,43842.2,43885.57
1702120080000,43883.32,43893,43865,43885.4
1702120140000,43885.4,43925,43854.8,43913.42
1702120200000,43913.42,43923,43878.8,43892.49
1702120260000,43892.77,43904,43890.42,43904
1702120320000,43893.85,43902,43893,43895
1702120380000,43894.69,43902,43864.46,43876
1702120440000,43876,43900.8,43850,43855
1702120500000,43872,43887.6,43831,43858.48
1702120560000,43858.49,43863,43831.3,43852.4
1702120620000,43854.21,43862,43836.8,43853.94
1702120680000,43853.95,43879,43853.89,43867.28
1702120740000,43871,43879,43843.5,43870.31
1702120800000,43870.31,43878,43812,43854.46
1702120860000,43852.4,43878,43836.1,43852.71
1702120920000,43852.7,43859,43834.22,43837.55
1702120980000,43837.56,43861.95,43814.55,43815.8
1702121040000,43815,43845.1,43790.6,43803.45
1702121100000,43805.69,43845.2,43786.34,43790.23
1702121160000,43808,43829,43790,43822
1702121220000,43818.94,43837,43802.8,43822.56
1702121280000,43806.6,43831,43799.5,43812
1702121340000,43806.22,43830,43788.19,43800
1702121400000,43794.57,43830,43786.77,43801.14
1702121460000,43802.05,43830,43792.74,43813.76
1702121520000,43800.4,43851,43795.6,43837.13
1702121580000,43837.12,43846,43822,43836.18
1702121640000,43835.87,43852,43798.3,43814.75
1702121700000,43816,43832,43790,43822.2
1702121760000,43806.16,43835,43790.8,43835
1702121820000,43835,43855,43806.1,43855
1702121880000,43855,43855,43821.91,43829.76
1702121940000,43830.69,43847,43810.9,43847
1702122000000,43826.18,43848,43801.3,43831
1702122060000,43831,43835,43796,43819.72
1702122120000,43812.11,43832,43801.1,43808.94
1702122180000,43808.95,43823,43804.62,43804.62
1702122240000,43804.62,43830,43799.9,43802.94
1702122300000,43802.38,43830,43771.81,43779.4
1702122360000,43811,43811,43767.37,43790.02
1702122420000,43790.02,43811,43790.02,43807.24
1702122480000,43807.25,43837,43792.2,43819.66
1702122540000,43819.7,43848,43799.9,43826
1702122600000,43820.99,43847,43799.1,43825.59
1702122660000,43829.2,43836.4,43802.9,43826.04
1702122720000,43829.4,43853,43803,43837.22
1702122780000,43836.77,43853,43803,43832.19
1702122840000,43832.14,43865,43832.14,43851.7
1702122900000,43851.69,43868,43802.9,43847.78
1702122960000,43846.65,43867,43803,43830.43
1702123020000,43830.18,43852,43802.9,43832.5
1702123080000,43830.07,43852,43830.06,43830.53
1702123140000,43832.1,43852,43802.9,43829.19
1702123200000,43831.7,43852,43802.3,43851
1702123260000,43816.34,43851,43790.1,43808.82
1702123320000,43809.08,43830.1,43790.1,43799.45
1702123380000,43798.95,43830.1,43790,43796.98
1702123440000,43798.09,43830.1,43795,43830.1
1702123500000,43815.85,43848,43795.4,43834.08
1702123560000,43835.1,43862,43802.8,43845.42
1702123620000,43849,43873,43802.9,43859.84
1702123680000,43859.44,43863.1,43803,43863.1
1702123740000,43854.44,43874,43803,43856.46
